D A T E,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량
12/28/2007 12:00:00 AM,2767006,,,,,,,,,,,,,,,,148578,,1480,2554,,,,,,,,,,,,,,,,,,,,,
1/4/2008 12:00:00 AM,3063542,,,,,,,,,,,,,,,,13178,,2021,1252,,,,,,,,,,,,,,,,,,,,,
1/11/2008 12:00:00 AM,4671358,,,,,,,,,,,,,,,,10979,,284,34858,,,,,,,,,,,,,,,,,,,,,
1/18/2008 12:00:00 AM,2870973,,,,,,,,,,,,,,,,9664,,2632,2488,,,,,,,,,,,,,,,,,,,,,
1/25/2008 12:00:00 AM,2081754,,,,,,,,,,,,,,,,21899,,1751,1174,,,,,,,,,,,,,,,,,,,,,
2/1/2008 12:00:00 AM,5468507,,,,,,,,,,,,,,,,3536,,470,2281,,,,,,,,,,,,,,,,,,,,,
2/5/2008 12:00:00 AM,665246,,,,,,,,,,,,,,,,2509,,307,338,,,,,,,,,,,,,,,,,,,,,
2/15/2008 12:00:00 AM,2776215,,,,,,,,,,,,,,,,7112,,194,741,,,,,,,,,,,,,,,,,,,,,
2/22/2008 12:00:00 AM,1493953,,,,,,,,,,,,,,,,1528,,2576,1634,,,,,,,,,,,,,,,,,,,,,
2/29/2008 12:00:00 AM,3653059,,,,,,,,,,,,,,,,5373,,222,584,,,,,,,,,,,,,,,,,,,,,
3/7/2008 12:00:00 AM,2726189,,,,,,,,,,,,,,,,618,,2149,1931,,,,,,,,,,,,,,,,,,,,,
3/14/2008 12:00:00 AM,3621471,,,,,,,,,,,,,,,,18250,,1082,2041,,,,,,,,,,,,,,,,,,,,,
3/21/2008 12:00:00 AM,502812,,,,,,,,,,,,,,,,1775,,332,5913,,,,,,,,,,,,,,,,,,,,,
3/28/2008 12:00:00 AM,557554,,,,,,,,,,,,,,,,257060,,1772,3891,,,,,,,,,,,,,,,,,,,,,
4/4/2008 12:00:00 AM,403989,,384158,,,,,,,,,,,,,,6600,,7386,5533,,,,,,,,,,,,,,,,,,,,,
4/11/2008 12:00:00 AM,761174,,672156,,,,,,,,,,,,,,638436,,5997,2164,,,,,,,,,,,,,,,,,,,,,
4/18/2008 12:00:00 AM,917586,,916744,,,,,,,,,,,,,,1368,,1506,3259,,,,,,,,,,,,,,,,,,,,,
4/25/2008 12:00:00 AM,409975,,1257953,,,,,,,,,,,,,,7281,,4919,3628,,,,,,,,,,,,,,,,,,,,,
5/2/2008 12:00:00 AM,1729818,,264179,,,,,,,,,,,,,,442975,,7296,5934,,,,,,,,,,,,,,,,,,,,,
5/9/2008 12:00:00 AM,1983987,,407130,,,,,,,,,,,,,,8519,,2659,11060,,,,,,,,,,,,,,,,,,,,,
5/16/2008 12:00:00 AM,1028824,,5869,,,,,,,,,,,,,,14537,,8036,9505,,,,,,,,,,,,,,,,,,,,,
5/23/2008 12:00:00 AM,1737434,,4076,,,,,,,,,,,,,,6148,,3137,1080,,,,,,2015139,,,,,,,,,,,,,,,
5/30/2008 12:00:00 AM,2761655,,10079,,,,,,,,,,,,,,3933,,2487,4325,,,,,,1045203,,,,,,,,,,,,,,,
6/5/2008 12:00:00 AM,2430572,,5688,,,,,,,,,,,,,,741,,2087,534,,,,,,269839,,,,,,,,,,,,,,,
6/13/2008 12:00:00 AM,1207526,,500901,,,,,,,,,,,,,,282132,,747,286,,,,,,895393,,,,,,,,,,,,,,,
6/20/2008 12:00:00 AM,1382006,,1104,,,,,,,,,,,,,,1586,,4396,444,,,,,,565296,,,,,,,,,,,,,,,
6/27/2008 12:00:00 AM,1717413,,321,,,,,,,,,,,,,,2831,,1211,1873,,,,,,735377,,,,,,,,,,,,,,,
7/4/2008 12:00:00 AM,2789740,,722,,,,,,,,,,,,,,11181,,4147,3157,,,,,,1563379,,,,,,,,,,,,,,,
